imdb_id,release_date,roi,vote_average,genres,title
tt13539646,2023,7.189240653893298,7,"Science Fiction, Action, Drama",The Wandering Earth II
tt9006564,2023,7.0,8,"Thriller, Action, Adventure",2018
tt9362722,2023,5.83241751,8,"Animation, Action, Adventure",Spider-Man: Across the Spider-Verse
tt10366206,2023,3.744206277777778,8,"Action, Thriller, Crime",John Wick: Chapter 4
tt11145118,2023,2.6699815333333334,7,"Drama, Action",Creed III
tt15354916,2023,2.559896652835408,7,"Action, Adventure, Thriller",Jawan
tt6791350,2023,2.381721208,8,"Science Fiction, Adventure, Action",Guardians of the Galaxy Vol. 3
tt9224104,2023,1.977182031007752,7,"Action, Science Fiction, Horror",Meg 2: The Trench
tt10954600,2023,1.3803559,6,"Action, Adventure, Science Fiction",Ant-Man and the Wasp: Quantumania
tt17024450,2023,1.2614285714285713,7,"Action, Thriller, Crime",The Equalizer 3
tt5090568,2023,1.204102564102564,7,"Action, Adventure, Science Fiction",Transformers: Rise of the Beasts
tt14846026,2023,1.0982724193548388,8,"Action, War",Sisu
tt5433140,2023,1.0726754705882353,7,"Action, Crime, Thriller",Fast X
tt5884796,2023,1.04,7,"Action, Adventure, Thriller",Plane
tt9603212,2023,0.9352197766323024,8,"Action, Thriller",Mission: Impossible - Dead Reckoning Part One
tt4495098,2023,0.9133333333333333,8,"Action, Drama, Adventure",Gran Turismo
tt12844910,2023,0.7777777777777778,7,"Action, Adventure, Thriller",Pathaan
tt2906216,2023,0.3786558013245033,7,"Adventure, Fantasy, Comedy",Dungeons & Dragons: Honor Among Thieves
tt1462764,2023,0.29925722429589413,7,"Adventure, Action",Indiana Jones and the Dial of Destiny
tt12261776,2023,0.2222222222222222,6,"Science Fiction, Action, Adventure",65
tt12672536,2023,0.1332894181818182,7,"Action, Adventure, History, Drama",The Three Musketeers: D'Artagnan
tt10151854,2023,0.06749684,7,"Comedy, Action, Fantasy",Shazam! Fury of the Gods
tt9362930,2023,0.040151958333333335,7,"Action, Science Fiction, Adventure",Blue Beetle
tt0439572,2023,-0.10541461333333334,7,"Action, Adventure, Science Fiction",The Flash
tt7985704,2023,-0.24306574,7,"Action, Thriller, Comedy",Operation Fortune: Ruse de Guerre
tt12915716,2023,-0.31746031746031744,5,"Action, Adventure, Drama, Fantasy",Adipurush
tt6906292,2023,-0.3547268,7,"Action, Mystery, Thriller, Crime",Retribution
tt11358390,2023,-0.5946437538461539,7,"Comedy, Horror, Fantasy",Renfield
tt4873118,2023,-0.6363636363636364,8,"War, Action, Thriller",Guy Ritchie's The Covenant
tt3291150,2023,-0.85,7,"Action, Adventure, Thriller",Expend4bles
tt8080204,2023,-0.8647956,6,"Mystery, Thriller, Science Fiction",Hypnotic
tt6528290,2023,-0.8867580166666666,7,"Fantasy, Action, Adventure",Knights of the Zodiac
tt13923456,2023,-0.9048107073170731,6,"Comedy, Action, Crime",Mafia Mamma
